Concatenate,thermo_label,thermo_confidence,color_label,color_confidence,model_time,remarks,count,result,wrong_color,wrong_sun.shade,non_detected,correct,wrong_both,FP,FN,HARD_TO_DETECT,HARD_TO_DETERMINE_SHADE,HARD_TO_DETERMINE_COLOR,true_negative
H1E IMAG0045,Shade,84.00906324,negative,99.45781231,10:48:12,TAIL_ONLY,1,XS,0,1,0,0,0,0,0,1,0,1,0
H1E IMAG0046,Sun,99.56297874,Blue,99.65852499,10:48:50,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0047,Sun,99.49989319,Blue,94.04297471,10:48:50,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0048,Sun,99.43491817,Blue,99.78811145,10:48:52,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0051,Sun,99.90209341,Blue,99.44783449,10:49:30,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0052,Sun,99.99921322,Blue,99.94984865,10:50:16,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0053,Sun,99.9963522,Blue,99.96967316,10:50:16,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0054,Sun,99.99741316,Blue,99.98859167,10:50:18,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0055,Sun,99.97830987,White,69.80111003,10:51:00,,1,XC,1,0,0,0,0,0,0,0,0,0,0
H1E IMAG0056,Sun,99.97448325,White,67.66575575,10:51:00,,1,XC,1,0,0,0,0,0,0,0,0,0,0
H1E IMAG0057,Sun,99.99055862,White,79.08987403,10:51:02,,1,XC,1,0,0,0,0,0,0,0,0,0,0
H1E IMAG0058,Sun,66.17830992,Blue,80.18997312,10:51:42,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0059,Sun,62.5644505,Blue,98.21048379,10:51:44,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0060,Sun,91.96066856,Blue,87.66654134,10:51:44,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0061,Sun,99.99725819,Blue,95.7572937,10:52:30,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0061 (2),Shade,57.88266063,negative,93.84608865,14:57:24,FP,1,FP,0,0,0,0,0,1,0,0,0,0,0
H1E IMAG0062,Sun,99.9989748,negative,51.32055879,10:52:30,,1,XC,1,0,0,0,0,0,0,0,0,0,0
H1E IMAG0063,Sun,99.99549389,negative,80.25528193,10:52:32,,1,XC,1,0,0,0,0,0,0,0,0,0,0
H1E IMAG0064 (2),Shade,55.81051111,negative,96.31038904,14:58:18,FP,1,FP,0,0,0,0,0,1,0,0,0,0,0
H1E IMAG0070,Sun,99.973768,Blue,94.78285909,10:54:50,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0071,Sun,99.97922778,Blue,93.70598197,10:54:50,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0072,Sun,99.9920249,Blue,97.56366611,10:54:52,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0073,Sun,99.99403954,Blue,99.98635054,10:55:28,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0074,Sun,99.73663688,Blue,95.06316781,10:55:28,FP,2,FP,0,0,0,0,0,1,0,0,0,0,0
H1E IMAG0074,Sun,99.99638796,Blue,99.98384714,10:55:28,,2,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0074 (2),Shade,97.48353362,negative,94.96484995,15:00:40,FP,1,FP,0,0,0,0,0,1,0,0,0,0,0
H1E IMAG0075,Sun,99.9607861,Blue,99.28352237,10:55:30,FP,2,FP,0,0,0,0,0,1,0,0,0,0,0
H1E IMAG0075,Sun,99.99650717,Blue,99.98577833,10:55:30,,2,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0076,Sun,99.64404702,Blue,98.96021485,10:56:08,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0077,Sun,99.6689558,Blue,99.65689182,10:56:08,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0078,Sun,99.40072298,Blue,99.61280227,10:56:10,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0079,Sun,91.06695652,White,76.91342235,10:56:48,,1,XC,1,0,0,0,0,0,0,0,0,0,0
H1E IMAG0080,Sun,96.1879313,Blue,89.95762467,10:56:48,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0081,Sun,82.041502,Blue,97.89059162,10:56:48,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0082,Sun,99.97774959,Blue,99.98447895,10:57:28,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0083,Sun,99.99240637,Blue,99.99524355,10:57:30,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0084,Sun,99.99426603,Blue,99.98817444,10:57:30,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0085,Shade,84.93145108,Blue,98.61907959,10:58:08,HARD_TO_DETERMINE_COLOR,1,V,0,0,0,1,0,0,0,0,0,1,0
H1E IMAG0086,Shade,78.12455297,Blue,98.59039187,10:58:10,HARD_TO_DETERMINE_COLOR,1,V,0,0,0,1,0,0,0,0,0,1,0
H1E IMAG0087,Shade,94.37196851,Blue,99.35714006,10:58:10,HARD_TO_DETERMINE_COLOR,1,V,0,0,0,1,0,0,0,0,0,1,0
H1E IMAG0096 (2),Shade,92.91670322,negative,74.24322963,15:07:18,FP,1,FP,0,0,0,0,0,1,0,0,0,0,0
H1E IMAG0100,Sun,93.86638403,White,99.54837561,11:01:40,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0101,Sun,82.34125972,White,99.68681931,11:01:40,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0102,Sun,86.41198277,White,99.90482926,11:01:42,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0103,Sun,99.93510842,Blue,99.29425716,11:02:28,,2,XC,1,0,0,0,0,0,0,0,0,0,0
H1E IMAG0103,Sun,98.95752668,Blue,87.81251311,11:02:28,,2,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0103 (2),Shade,99.33832288,White,99.86808896,15:10:16,HARD_TO_DETERMINE_SHADE,1,V,0,0,0,1,0,0,0,0,1,0,0
H1E IMAG0104,Sun,99.9489665,Blue,96.24435306,11:02:28,,2,XC,1,0,0,0,0,0,0,0,0,0,0
H1E IMAG0104,Sun,99.51743484,Blue,92.07074642,11:02:28,,2,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0104 (2),Shade,99.183321,White,99.30037856,15:10:18,HARD_TO_DETERMINE_SHADE,1,V,0,0,0,1,0,0,0,0,1,0,0
H1E IMAG0105,Sun,99.97389913,Blue,89.93015289,11:02:30,,1,XC,1,0,0,0,0,0,0,0,0,0,0
H1E IMAG0105 (2),Shade,99.49466586,White,99.58668947,15:10:18,HARD_TO_DETERMINE_SHADE,1,V,0,0,0,1,0,0,0,0,1,0,0
H1E IMAG0106,Sun,99.9155879,Blue,56.59132004,11:03:24,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0106 (2),Shade,93.18397641,White,99.08798933,15:11:02,HARD_TO_DETERMINE_SHADE,1,V,0,0,0,1,0,0,0,0,1,0,0
H1E IMAG0107,Sun,99.8650372,Blue,91.18157029,11:03:24,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0107 (2),Shade,98.99253845,White,99.73746538,15:11:04,HARD_TO_DETERMINE_SHADE,1,V,0,0,0,1,0,0,0,0,1,0,0
H1E IMAG0108,Sun,99.86100197,Blue,65.36762714,11:03:26,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0108 (2),Shade,97.41030335,White,99.15702343,15:11:04,HARD_TO_DETERMINE_SHADE,1,V,0,0,0,1,0,0,0,0,1,0,0
H1E IMAG0109,Sun,99.96216297,Blue,99.88862872,11:04:06,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0109 (2),Shade,96.24294043,White,97.72088528,15:11:44,HARD_TO_DETERMINE_SHADE,1,V,0,0,0,1,0,0,0,0,1,0,0
H1E IMAG0110,Sun,99.96899366,Blue,99.94445443,11:04:06,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0110 (2),Shade,95.8391726,White,96.65682316,15:11:46,HARD_TO_DETERMINE_SHADE,1,V,0,0,0,1,0,0,0,0,1,0,0
H1E IMAG0111,Sun,99.97422099,Blue,99.80859756,11:04:08,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0111 (2),Shade,88.37207556,White,99.3386209,15:11:46,HARD_TO_DETERMINE_SHADE,1,V,0,0,0,1,0,0,0,0,1,0,0
H1E IMAG0112,Sun,99.87270236,Blue,97.52033949,11:04:52,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0112 (2),Shade,96.88794017,White,99.0103364,15:12:48,HARD_TO_DETERMINE_SHADE,1,V,0,0,0,1,0,0,0,0,1,0,0
H1E IMAG0113,Sun,99.90369081,Blue,99.53410625,11:04:54,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0113 (2),Shade,57.75918365,negative,56.59862161,15:12:48,FP,2,FP,0,0,0,0,0,1,0,0,0,0,0
H1E IMAG0113 (2),Shade,89.70031738,White,99.38145876,15:12:48,HARD_TO_DETERMINE_SHADE,2,V,0,0,0,1,0,0,0,0,1,0,0
H1E IMAG0114,Sun,99.76639748,Blue,99.08163548,11:04:54,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0114 (2),Shade,97.63386846,White,94.78339553,15:12:48,HARD_TO_DETERMINE_SHADE,1,V,0,0,0,1,0,0,0,0,1,0,0
H1E IMAG0115,Sun,99.98793602,Blue,98.1534481,11:05:30,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0115 (2),Shade,90.39215446,White,49.86305237,15:14:20,,1,FP,0,0,0,0,0,1,0,0,0,0,0
H1E IMAG0116,Sun,99.99346733,Blue,96.5952754,11:05:32,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0117,Sun,99.98160005,Blue,57.68023729,11:05:32,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0118,Sun,99.99699593,Blue,90.88645577,11:06:12,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0119,Sun,99.99477863,Blue,93.54255199,11:06:14,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0120,Sun,99.99136925,Blue,85.72956324,11:06:14,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0124,Sun,99.97543693,Blue,99.86414313,11:07:34,,1,V,0,0,0,1,0,0,0,0,0,0,0
